,ALL,AAPL,ABT,ABBV,ACN,AMGN,AMZN,AIG,BLK,C,BAC,CAT,BK,AXP,CL,BMY,BIIB,BA,DD,CVS,COST,CMCSA,CSCO,CVX,COP,COF,DHR,EXC,FOXA,F,DUK,FDX,EMR,FB,DOW,FOX,DIS,GOOG,GOOGL,HAL,GM,HON,GILD,HD,GS,GD,GE,LMT,KO,LOW,IBM,INTC,KMI,JPM,JNJ,LLY,MDLZ,MO,MA,MS,MRK,MMM,MDT,MON,MET,MCD,MSFT,OXY,PG,ORCL,NKE,PEP,PM,PFE,NEE,PYPL,TGT,SBUX,T,QCOM,SLB,SPG,TXN,SO,VZ,USB,WFC,UNP,V,WBA,USD,UPS,UNH
1333373400,33.36,22.094,29.383,,65.49,68.11,198.05,31.17,206.29,36.87,9.68,107.25,24.49,58.01,49.22,33.89,127.63,75.17,49.772,45.07,91.84,15.025,21.19,108.3,58.599,56.36,42.509,27.967,,12.62,63.3,92.19,52.54,,,,43.84,322.252,323.784,33.45,26.76,58.27,24.39,49.99,124.9,74.09,154.0,91.16,37.07,31.38,200.258,28.38,39.1,46.13,66.21,40.48,38.38,31.16,43.205,19.81,36.746,89.23,39.54,,33.868,98.36,32.29,93.392,67.56,29.53,27.255,66.74,89.38,21.433,15.458,,58.29,28.335,31.45,68.32,69.84,138.231,33.26,45.06,38.52,31.71,34.51,54.8,29.745,34.16,1.893,80.67,59.12
1333459800,32.9,22.476,29.335,,64.95,67.93,199.66,30.87,206.57,36.37,9.49,106.21,24.67,58.39,49.115,33.87,128.8,74.65,48.462,44.91,90.39,14.83,20.82,107.14,58.172,56.34,42.335,27.767,,12.64,63.42,91.49,51.78,,,,43.29,320.11,321.632,33.6,25.54,57.803,24.05,50.0,122.71,73.1,153.538,91.07,36.88,31.07,200.287,28.11,39.73,45.42,65.88,40.32,38.29,31.09,43.802,19.37,36.947,88.79,39.1,,33.583,99.4,31.94,92.424,67.09,29.39,27.343,66.56,88.98,21.385,15.49,,57.88,28.455,31.43,68.13,69.73,137.912,32.6,45.24,38.46,31.59,34.48,53.875,30.09,33.85,1.846,80.52,59.4
1333546200,32.62,22.297,29.489,,64.44,67.85,193.99,32.52,203.82,35.04,9.2,106.26,24.14,57.37,48.925,33.7,127.82,73.67,47.822,44.31,89.04,14.66,20.36,105.6,58.073,55.39,41.888,27.739,,12.51,63.57,90.64,51.36,,,,42.93,316.389,317.893,33.0,25.1,57.345,23.595,49.85,119.96,72.63,151.846,90.34,36.73,31.27,196.989,27.93,39.22,44.41,65.39,40.33,38.22,31.11,43.094,18.69,37.118,87.84,38.26,,32.816,97.48,31.21,90.46,67.26,29.16,27.372,66.34,89.49,21.243,15.61,,57.82,28.48,31.57,67.39,68.69,137.027,32.16,45.16,38.39,31.31,33.88,54.19,29.745,33.3,1.786,79.86,59.06
1333632600,32.75,22.631,29.412,,64.79,68.02,194.39,32.89,205.98,34.79,9.23,105.87,23.82,58.1,49.08,33.68,128.62,73.59,47.566,44.62,88.65,14.78,20.22,104.75,57.448,55.65,41.789,27.368,,12.47,62.28,90.39,50.96,,,,43.08,314.979,316.476,32.77,24.81,56.716,23.88,50.62,118.0,71.8,149.923,90.15,36.735,31.35,196.434,28.07,39.85,44.34,65.34,40.48,38.04,31.36,43.985,18.39,37.099,87.27,38.2,,32.496,98.62,31.52,89.378,67.31,29.56,27.597,66.15,88.64,21.195,15.72,,57.72,29.09,30.94,67.19,68.42,137.15,32.46,44.97,37.66,31.35,33.73,54.325,30.253,32.84,1.791,80.18,59.01
1333978200,32.39,22.722,29.253,,63.74,67.02,191.87,31.99,202.74,33.97,8.93,103.57,23.34,57.16,48.52,33.04,126.61,72.43,46.242,43.94,87.88,14.665,19.96,103.49,57.212,54.24,41.387,27.268,,12.22,61.83,88.47,50.34,,,,42.11,314.242,315.736,32.38,24.2,55.191,23.295,50.58,117.02,70.82,147.692,88.74,36.435,31.09,195.927,27.76,39.38,43.89,64.92,39.72,37.59,31.16,43.929,17.98,36.956,86.33,37.75,,31.854,98.88,31.1,87.548,66.81,29.01,27.673,65.35,88.37,20.92,15.658,,57.52,28.71,30.64,66.5,67.59,136.077,32.14,44.72,37.46,31.01,33.42,53.09,29.875,32.56,1.741,79.19,58.14
1334064600,31.97,22.444,28.855,,63.15,66.19,186.98,31.24,198.6,32.86,8.54,100.43,23.11,56.18,48.085,32.47,125.02,70.6,45.118,43.53,86.89,14.325,19.55,101.45,56.175,52.69,40.053,27.111,,11.79,61.11,86.63,49.64,,,,40.99,312.26,313.744,31.99,23.71,53.942,22.885,49.36,114.56,69.48,144.154,87.67,36.01,30.33,193.432,27.45,38.1,42.96,64.2,39.42,37.02,30.95,42.473,17.31,36.689,84.58,37.37,,31.07,97.67,30.47,85.852,66.35,28.35,26.615,64.85,87.05,20.863,15.563,,56.4,28.39,30.13,66.22,67.26,133.33,31.69,44.36,36.8,30.34,32.92,52.49,29.185,32.21,1.692,78.33,57.56
1334151000,32.24,22.364,28.625,,63.62,66.73,187.97,31.87,197.81,33.59,8.86,101.75,23.47,56.95,48.27,32.59,125.03,71.77,45.36,43.75,87.32,14.49,20.02,100.95,56.068,53.73,40.864,27.233,,11.91,61.05,87.91,49.73,,,,41.37,316.793,318.298,32.13,24.03,54.418,22.71,49.75,115.93,69.35,146.231,88.49,36.06,31.02,193.671,27.85,38.23,44.01,64.13,39.47,36.87,31.21,43.004,17.51,36.718,85.35,37.72,,31.488,98.56,30.35,85.085,66.44,28.14,27.063,65.15,87.52,20.825,15.6,,57.2,29.645,30.45,66.22,68.12,134.864,31.99,44.5,37.38,30.87,33.62,52.9,29.345,33.08,1.738,78.79,58.02
1334237400,32.87,22.242,28.654,,64.13,66.92,190.69,33.23,201.71,34.63,9.17,106.44,23.94,58.04,48.72,32.55,125.5,73.5,46.498,43.48,87.18,14.84,20.06,102.59,56.815,54.65,41.312,27.026,,12.07,,89.84,51.02,,,,42.15,324.289,325.831,33.18,24.3,56.049,22.86,50.63,120.39,69.66,148.462,90.17,36.11,31.5,196.291,28.48,38.52,44.84,64.15,39.58,37.14,31.31,43.398,18.22,36.517,86.86,38.24,,32.389,97.64,30.98,87.299,66.09,28.7,27.163,65.38,87.26,20.797,15.63,,57.93,30.315,30.84,68.33,70.34,137.093,32.51,44.76,37.55,31.34,34.02,54.4,30.255,33.29,1.81,79.42,58.46
1334323800,32.3,21.615,28.591,,62.55,65.59,188.46,32.48,197.81,33.41,8.68,105.89,23.11,57.28,48.605,32.54,125.34,72.92,47.253,43.43,86.32,14.75,19.85,100.78,56.129,53.47,40.849,26.74,,11.92,61.23,88.03,50.09,,,,41.85,311.134,312.613,32.41,23.8,55.362,22.755,50.96,115.09,68.88,145.231,89.3,35.97,31.69,193.881,28.09,38.41,43.21,63.54,39.18,37.35,31.49,44.046,17.28,36.05,85.69,37.51,,31.765,96.97,30.81,84.855,65.81,28.56,27.292,65.06,87.84,20.731,15.52,,57.43,30.835,30.54,66.67,68.38,136.162,32.18,44.74,37.26,30.9,32.84,54.02,30.79,33.04,1.747,79.56,58.05
1334583000,32.47,20.719,28.716,,61.88,66.26,185.5,32.81,198.18,34.0,8.79,106.74,23.29,57.83,48.835,32.93,125.78,72.68,47.822,43.61,86.88,14.885,19.73,101.51,56.282,53.28,40.97,26.969,,11.88,61.89,88.18,50.2,,,,41.66,301.903,303.338,32.06,23.42,55.295,22.93,51.69,117.73,69.2,145.385,89.57,36.22,32.05,193.805,28.41,37.7,43.33,63.98,39.6,37.58,31.38,43.266,17.5,36.212,86.4,37.55,,31.631,96.58,31.08,83.6,66.78,28.64,27.35,65.99,87.04,20.854,15.68,,57.39,29.825,30.61,66.25,67.44,139.831,32.2,45.18,37.43,31.16,33.15,54.045,30.208,33.3,1.757,79.56,57.36
